time,temperature,humidity,dew_point,pressure,wind_speed,cloudiness,visibility
00:00:00,15.0,88.31,13.1,1003.1,18.9,89.4,16.6
01:00:00,15.8,84.65,13.2,1002.1,16.3,89.4,16.6
02:00:00,15.1,88.65,13.3,1000.6,16.5,93.3,13.8
03:00:00,15.6,86.36,13.3,999.1,22.5,93.3,7.8
04:00:00,15.8,88.23,13.8,996.2,40.9,98.1,7.6
05:00:00,15.6,85.25,13.1,994.4,43.1,89.1,7.6
06:00:00,10.8,93.2,9.8,998.4,41.4,93.0,4.4
07:00:00,9.8,87.98,7.9,1001.1,32.7,40.4,18.9
08:00:00,9.1,88.76,7.3,1003.2,19.9,36.8,19.8
09:00:00,10.0,82.6,7.1,1005.2,20.0,35.4,21.2
10:00:00,11.9,81.35,8.8,1005.6,25.8,4.9,24.4
11:00:00,13.1,80.03,9.7,1006.5,24.5,6.3,26.0
12:00:00,14.2,79.34,10.7,1007.1,34.2,28.3,25.8
13:00:00,15.2,75.16,10.8,1007.5,31.5,53.8,25.3
14:00:00,16.0,71.85,10.9,1007.3,34.7,34.7,25.2
15:00:00,16.1,70.38,10.7,1007.4,31.9,38.5,24.3
16:00:00,15.8,72.58,10.9,1008.0,31.3,35.1,23.8
17:00:00,15.1,72.42,10.2,1007.6,34.3,85.1,23.8
18:00:00,14.2,79.32,10.6,1008.5,31.2,54.0,23.3
19:00:00,13.8,78.65,10.2,1009.2,25.0,54.2,19.3
20:00:00,13.8,83.61,11.1,1009.7,26.8,70.0,15.3
21:00:00,13.2,81.35,10.1,1010.5,18.0,43.7,15.3
22:00:00,13.2,81.01,10.0,1010.5,16.4,32.8,15.3
23:00:00,13.7,82.13,10.7,1011.2,11.1,32.8,15.3
